"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.739607833E0,7.235952759E-1,1.047342041E1,1.884595963E1,2.157281436E1
1.749611833E0,-6.346801758E-2,1.045830185E1,1.793914536E1,2.076518822E1
1.759616833E0,-1.007854156E0,1.068792435E1,1.797611847E1,2.093772509E1
1.769621833E0,-1.697320404E0,1.092069031E1,1.827040649E1,2.135298871E1
1.779625833E0,-1.820065155E0,1.064316742E1,1.845721802E1,2.138360463E1
1.789630833E0,-1.289568329E0,1.024559418E1,1.837653580E1,2.107919008E1
1.799635833E0,-8.095166016E-1,9.622140656E0,1.832878510E1,2.071678718E1
1.809639833E0,-5.965095520E-1,8.845555573E0,1.772733582E1,1.982064863E1
1.819644833E0,-6.471043396E-1,8.108488312E0,1.682680847E1,1.868977822E1
1.829649833E0,-5.339396667E-1,7.679031372E0,1.663625473E1,1.833078247E1
1.839653833E0,-2.604583740E-1,7.431146851E0,1.684522018E1,1.841334367E1
1.849489292E0,1.831890564E0,3.150199127E0,6.590944061E0,7.531276200E0
1.859493292E0,1.822160797E0,3.087329865E0,5.969436493E0,6.963192350E0
1.869498292E0,1.732497253E0,3.048560486E0,5.597160645E0,6.604806965E0
1.879503292E0,1.742825775E0,2.821183319E0,5.245990906E0,6.206201542E0
1.889507292E0,1.970951385E0,2.525997162E0,4.376598816E0,5.424014032E0
1.899512292E0,2.391726379E0,2.268981628E0,3.572471008E0,4.861191398E0
1.909517292E0,2.924468536E0,1.902094574E0,3.222798157E0,4.749411326E0
1.919521292E0,3.532354431E0,1.601669312E0,3.028053131E0,4.920566855E0
1.929526292E0,3.837420044E0,1.351240082E0,2.679577789E0,4.871527428E0
1.939531292E0,3.929179230E0,8.731343079E-1,2.370320892E0,4.671106301E0
1.949535292E0,4.210144958E0,2.359094238E-1,2.216440887E0,4.763778336E0
1.959540292E0,4.666695557E0,-2.655477905E-1,2.058369598E0,5.107391551E0
1.969545292E0,5.176984406E0,-7.568261719E-1,2.056872711E0,5.621803869E0
1.979549292E0,5.630690918E0,-1.266216888E0,2.155367889E0,6.160649005E0
1.989554292E0,6.063890076E0,-1.681603088E0,2.349514160E0,6.717050587E0
1.999559292E0,6.362070007E0,-2.001936951E0,2.649640045E0,7.176648152E0
2.009563292E0,6.487958221E0,-2.277813263E0,2.825673981E0,7.434142088E0
2.019568292E0,6.651118927E0,-2.663561096E0,2.770887909E0,7.681781076E0
2.029573292E0,7.014563141E0,-3.191962280E0,2.622396698E0,8.140619368E0
2.039577292E0,7.408543854E0,-3.752546539E0,2.431693268E0,8.653395849E0
2.049582292E0,7.332651672E0,-4.251459045E0,2.343975677E0,8.794140466E0
2.059587292E0,7.370971985E0,-4.823569336E0,3.174897766E0,9.363654466E0
2.069591292E0,7.844138031E0,-5.127886505E0,4.487218781E0,1.039042125E1
2.079596292E0,8.190966797E0,-5.461392975E0,5.076842651E0,1.107669091E1
2.089601292E0,8.222251740E0,-5.777834930E0,6.230942688E0,1.182427363E1
2.099606292E0,8.458610229E0,-5.522316284E0,8.770711212E0,1.337794601E1
2.109610292E0,8.673862610E0,-5.244494019E0,1.066397415E1,1.471261210E1
2.119615292E0,8.414452057E0,-5.442083130E0,1.098400864E1,1.486834617E1
2.129620292E0,8.222551117E0,-5.470074921E0,1.079016174E1,1.462735988E1
2.139624292E0,7.884553986E0,-4.958289185E0,9.912237396E0,1.360159084E1
2.149629292E0,7.037615204E0,-4.816084900E0,8.685538330E0,1.217215172E1
2.159634292E0,6.230044556E0,-4.932243347E0,7.816445618E0,1.114617879E1
2.169638292E0,5.723048859E0,-4.771327972E0,7.443271637E0,1.053191110E1
2.179643292E0,5.411995697E0,-4.660558319E0,7.242239685E0,1.017155529E1
2.189648292E0,4.966372375E0,-4.826263733E0,6.657256165E0,9.606078067E0
2.199652292E0,4.759053497E0,-5.463937683E0,6.024222565E0,9.423081381E0
2.209657292E0,4.801415405E0,-6.039790192E0,5.849685516E0,9.682534590E0
2.219662292E0,5.075046387E0,-6.271957397E0,6.332281952E0,1.025628296E1
2.229666292E0,5.178630981E0,-6.447691956E0,6.658603363E0,1.061734191E1
2.239671292E0,4.868625641E0,-6.527775421E0,6.675667877E0,1.052995295E1
2.249676292E0,4.459077301E0,-6.292614441E0,6.841522980E0,1.030954914E1
2.259680292E0,4.218976593E0,-6.146518250E0,7.069648590E0,1.027420952E1
2.269685292E0,4.030219116E0,-6.201154633E0,7.472910004E0,1.051386555E1
2.279690292E0,4.299209747E0,-6.244714050E0,7.961344299E0,1.099375555E1
2.289694292E0,4.909041595E0,-6.479875031E0,8.477620697E0,1.174553202E1
2.299699292E0,5.405110016E0,-6.669380951E0,9.079069977E0,1.249501373E1
2.309704292E0,5.841602325E0,-6.671626282E0,9.640702057E0,1.309878052E1
2.319708292E0,6.091432800E0,-6.256838837E0,1.034992722E1,1.354158703E1
2.329710333E0,6.535409546E0,-5.646707611E0,1.112890732E1,1.408720919E1
2.339715333E0,6.957082672E0,-4.873415680E0,1.201551361E1,1.471474590E1
2.349719333E0,6.758445740E0,-3.767216034E0,1.309027863E1,1.520604814E1
2.359724333E0,6.100563812E0,-2.545007629E0,1.395562912E1,1.544194051E1
2.369729333E0,6.351591797E0,-1.930385742E0,1.476140350E1,1.618542989E1
2.379734333E0,7.152276764E0,-1.409468994E0,1.540132278E1,1.703943688E1
2.389738333E0,8.154891815E0,-1.313069458E0,1.556927353E1,1.762466142E1
2.399743333E0,8.720415802E0,-1.455124054E0,1.557541077E1,1.790967499E1
2.409748333E0,8.873996429E0,-1.346150665E0,1.547047897E1,1.788562702E1
2.419752333E0,9.049431610E0,-1.159189453E0,1.547766403E1,1.796646923E1
2.429757333E0,9.612261200E0,-8.041278076E-1,1.539623337E1,1.816827424E1
2.439762333E0,1.015892441E1,-5.794450378E-1,1.522483978E1,1.831216121E1
2.449766333E0,1.084180435E1,-6.481521606E-1,1.510838196E1,1.860720366E1
2.459771333E0,1.176044403E1,-7.951464844E-1,1.542931458E1,1.941659213E1
2.469776333E0,1.277982422E1,-1.211131439E0,1.609123810E1,2.058442834E1
2.479780333E0,1.426144318E1,-1.673669586E0,1.708307556E1,2.231639312E1
2.489785333E0,1.590412720E1,-1.731150055E0,1.834929245E1,2.434408914E1
2.499790333E0,1.802222260E1,-1.589694214E0,1.949500992E1,2.659667360E1
2.509794333E0,2.009825546E1,-2.065704346E0,2.016845947E1,2.854774535E1
2.519799333E0,2.216336105E1,-2.731220398E0,2.088142685E1,3.057299667E1
2.529804333E0,2.426753540E1,-3.415896606E0,2.187251587E1,3.284796150E1
2.539808333E0,2.592698456E1,-4.668940887E0,2.250375320E1,3.464717082E1
2.549813333E0,2.727837433E1,-6.166726227E0,2.257395721E1,3.594053092E1
2.559818333E0,2.859219223E1,-7.630831604E0,2.254267227E1,3.720100967E1
2.569822333E0,2.964749771E1,-9.099727020E0,2.220467514E1,3.814219121E1
2.579827333E0,3.060849930E1,-1.057820251E1,2.204016724E1,3.917330174E1
2.589832333E0,3.170571762E1,-1.190399551E1,2.191996719E1,4.034157410E1
2.599836333E0,3.196662506E1,-1.287008652E1,2.148392395E1,4.060865958E1
2.609841333E0,3.173849945E1,-1.373364075E1,2.138842255E1,4.066214277E1
2.619846333E0,3.159390015E1,-1.451306992E1,2.133737869E1,4.079322804E1
2.629850333E0,3.149809937E1,-1.526420792E1,2.137989029E1,4.101494869E1
2.639855333E0,3.129901337E1,-1.603989487E1,2.166714294E1,4.130825037E1
2.649860333E0,3.053545120E1,-1.662472870E1,2.233220993E1,4.132218514E1
2.659865333E0,2.975946487E1,-1.676947769E1,2.238864258E1,4.084228750E1
2.669869333E0,2.875280823E1,-1.697320404E1,2.128603546E1,3.959682995E1
2.679874333E0,2.669114548E1,-1.670256683E1,1.920057220E1,3.687892296E1
2.689879333E0,2.427217575E1,-1.573542801E1,1.716839813E1,3.363771848E1
2.699883333E0,2.172028244E1,-1.428120209E1,1.584859268E1,3.044505366E1
2.709888333E0,1.915895874E1,-1.289807831E1,1.403526352E1,2.702618630E1
2.719893333E0,1.683459229E1,-1.214888626E1,1.114447495E1,2.356264536E1
2.729897333E0,1.437176376E1,-1.132005981E1,7.972121887E0,1.995610371E1
2.739902333E0,1.189052353E1,-9.979896698E0,4.912484436E0,1.628236442E1
2.749907333E0,9.569001160E0,-8.718769226E0,2.030826874E0,1.310370092E1
2.759911333E0,7.736062775E0,-7.767198029E0,-1.345701599E-1,1.096330888E1
2.769916333E0,6.129154358E0,-6.854845276E0,-1.485211487E0,9.314574068E0
2.779921333E0,4.499792633E0,-6.147865448E0,-2.018702087E0,7.881595107E0
2.789925333E0,3.152294769E0,-5.931415558E0,-1.641636200E0,6.914739492E0
2.799930333E0,2.118993530E0,-5.135969696E0,-7.044351196E-1,5.600405980E0
2.809935333E0,1.669328613E0,-4.418062592E0,2.338137817E-1,4.728700029E0
2.819939333E0,1.089883575E0,-4.489464111E0,1.281335449E-1,4.621639581E0
2.829944333E0,4.664300537E-1,-4.548591156E0,-7.033872986E-1,4.626228722E0
2.839949333E0,9.220825195E-2,-4.294569397E0,-1.739832001E0,4.634527382E0
2.849953333E0,-2.706372070E-1,-3.985761566E0,-3.194806366E0,5.115303263E0
2.859958333E0,-1.018931122E0,-3.447929993E0,-5.069956970E0,6.215376541E0
2.869963333E0,-1.651815033E0,-2.456691284E0,-7.053332520E0,7.649400277E0
2.879967333E0,-1.942510529E0,-1.627565460E0,-8.519383850E0,8.888319170E0
2.889972333E0,-1.972448273E0,-7.490423584E-1,-8.710536346E0,8.962424900E0
2.899977333E0,-2.181713104E0,-6.451583862E-2,-7.713010712E0,8.015894747E0
2.909981333E0,-2.221979370E0,8.861572266E-2,-6.567742310E0,6.933994816E0
2.919986333E0,-1.775158539E0,-2.722837830E-1,-5.092859344E0,5.400235421E0
2.929991333E0,-1.106499023E0,-7.788304138E-1,-3.704197083E0,3.943601517E0
2.939996333E0,-7.068301392E-1,-1.225950623E0,-2.893183594E0,3.220725863E0
2.950000333E0,-5.152285767E-1,-1.618733826E0,-2.596799927E0,3.103083876E0
2.960005333E0,-4.978646851E-1,-1.703906708E0,-2.713706818E0,3.242741434E0
2.970010333E0,-9.774673462E-1,-1.731599121E0,-2.823278961E0,3.453227769E0
2.980014333E0,-1.390159149E0,-1.764830017E0,-2.743943939E0,3.546321445E0
2.990019333E0,-1.413660278E0,-1.795366516E0,-2.477947083E0,3.370756303E0
3.000024333E0,-1.005758514E0,-1.916315002E0,-2.087409210E0,3.006840632E0
3.010028333E0,-4.185296631E-1,-2.025438080E0,-1.292113037E0,2.438672302E0
3.020033333E0,-7.334747314E-3,-1.940414886E0,-3.677851868E-1,1.974975867E0
3.030038333E0,1.252894592E-1,-1.839824066E0,1.202000427E-1,1.847998402E0
3.040042333E0,1.854643250E-1,-1.861828308E0,2.417472839E-1,1.886595721E0
3.050047333E0,3.712280273E-1,-1.821262665E0,3.586541748E-1,1.892997823E0
3.060052333E0,4.564009094E-1,-1.466051331E0,5.233117676E-1,1.622178628E0
3.070056333E0,4.284091187E-1,-1.139580231E0,5.680686951E-1,1.343458045E0
3.080061333E0,5.001100159E-1,-9.358538818E-1,3.062631226E-1,1.104413698E0
3.090066333E0,5.387297058E-1,-5.339396667E-1,-7.080276489E-2,7.617967545E-1
3.100070333E0,5.453160095E-1,-2.345622253E-1,-5.264552307E-1,7.934381499E-1
3.110075333E0,4.123924255E-1,-8.951385498E-2,-9.852511597E-1,1.071820923E0
3.120080333E0,4.541555786E-1,1.404080200E-1,-1.324445801E0,1.407170345E0
3.130085333E0,4.890330505E-1,3.755690002E-1,-1.347946930E0,1.482284158E0
