"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.562414167E0,-6.494993591E-1,1.406026154E0,1.017134857E1,1.028859032E1
1.572419167E0,-8.629554749E-1,1.305734711E0,1.067026108E1,1.078443818E1
1.582424167E0,-1.088985443E0,8.307723999E-1,1.117995117E1,1.126354208E1
1.592430167E0,-6.602769470E-1,4.309538269E-1,1.157976974E1,1.160658236E1
1.602435167E0,9.056167603E-2,2.586621094E-1,1.135314102E1,1.135644833E1
1.612440167E0,4.992118835E-1,2.200424194E-1,1.087114334E1,1.088482378E1
1.622446167E0,5.228627014E-1,3.668870544E-1,1.056053925E1,1.057983840E1
1.632451167E0,4.025129700E-1,6.845265198E-1,1.043869263E1,1.046885366E1
1.642457167E0,5.313949585E-2,9.921368408E-1,1.018811371E1,1.023644568E1
1.652462167E0,-2.387535095E-1,1.217118988E0,9.689051514E0,9.768116559E0
1.662467167E0,-2.634521484E-1,1.332379303E0,9.279802551E0,9.378666058E0
1.672473167E0,-1.573228455E-1,1.301543427E0,9.020990753E0,9.115757782E0
1.682478167E0,-1.410067749E-1,1.259181519E0,9.150471497E0,9.237778392E0
1.692483167E0,-1.959425354E-1,1.301992493E0,9.322763214E0,9.415279702E0
1.702489167E0,-2.228865051E-1,1.326092377E0,9.436376953E0,9.531705482E0
1.712494167E0,-1.980381775E-1,1.204395447E0,9.755513306E0,9.831572985E0
1.722499167E0,-2.056723022E-1,1.100661163E0,1.005339386E1,1.011555654E1
1.732505167E0,-2.335144043E-1,1.103804626E0,1.019978943E1,1.026199873E1
1.742510167E0,-2.736309814E-1,1.059646454E0,1.023032593E1,1.028869735E1
1.752516167E0,-2.797682190E-1,1.061742096E0,1.006117767E1,1.012091215E1
1.762521167E0,-1.079255676E-1,1.159638519E0,9.702523499E0,9.772173334E0
1.772526167E0,1.543290710E-1,1.254092102E0,9.315877533E0,9.401177515E0
1.782532167E0,2.883004761E-1,1.265318756E0,9.046737213E0,9.139343681E0
1.792537167E0,4.776567078E-1,1.401984558E0,8.903784485E0,9.026133989E0
1.802542167E0,7.062313843E-1,1.623673553E0,8.987161102E0,9.159920483E0
1.812548167E0,1.103505249E0,1.430575104E0,9.022936707E0,9.202046282E0
1.822553167E0,1.285077667E0,1.611099701E0,8.898395691E0,9.133920994E0
1.832558167E0,6.265969849E-1,2.295027466E0,9.007518768E0,9.316392500E0
1.842564167E0,-4.775070190E-1,2.655328217E0,9.230704651E0,9.616896030E0
1.852569167E0,-1.096020813E0,2.460134125E0,9.094487915E0,9.484894937E0
1.862575167E0,-7.429051208E-1,2.147135010E0,8.942853241E0,9.226956208E0
1.872580167E0,7.095245361E-2,2.065854034E0,9.018595734E0,9.252451359E0
1.882585167E0,4.722679138E-1,1.999392242E0,9.068442078E0,9.298238975E0
1.892591167E0,3.736230469E-1,1.816023560E0,9.061257019E0,9.248995325E0
1.902596167E0,1.401086426E-1,1.723815308E0,9.037905579E0,9.201896918E0
1.912601167E0,6.885681152E-3,1.807790680E0,9.146729279E0,9.323669398E0
1.922607167E0,1.549278259E-1,1.997296600E0,9.388925629E0,9.600266705E0
1.932612167E0,8.795709229E-1,2.192490692E0,9.937085724E0,1.021402629E1
1.942617167E0,1.008602600E0,1.994901581E0,9.829160156E0,1.008014389E1
1.952623167E0,4.577481079E-1,1.823058929E0,9.316925354E0,9.504639669E0
1.962628167E0,1.775308228E-1,1.981579285E0,9.717342682E0,9.918917403E0
1.972634167E0,-8.023315430E-2,2.055675201E0,9.742939453E0,9.957766169E0
1.982639167E0,-1.457968140E-1,1.994003448E0,9.510023804E0,9.717914345E0
1.992644167E0,-2.396516418E-1,1.969604187E0,9.498946838E0,9.703956131E0
2.002650167E0,-6.463558960E-1,2.030677185E0,9.341623993E0,9.581615970E0
2.012655167E0,-9.623487854E-1,2.079924774E0,9.365424500E0,9.641751828E0
2.022660167E0,-9.487271118E-1,1.953437805E0,9.541009369E0,9.785032558E0
2.032666167E0,-5.044509888E-1,1.745520172E0,9.694739685E0,9.863533294E0
2.042671167E0,-1.389111328E-1,1.648372192E0,9.987830200E0,1.012389151E1
2.052676167E0,-3.990701294E-1,1.688189392E0,1.030621811E1,1.045118999E1
2.062682167E0,-5.830375671E-1,1.845063171E0,1.044273422E1,1.062049382E1
2.072687167E0,-3.920347595E-1,1.899250488E0,1.058598633E1,1.076215360E1
2.082693167E0,-1.432521057E-1,1.854942627E0,1.061188248E1,1.077373580E1
